Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow,Chrome 107.0.0.0,,,2022-11-15 14:15:00,2022-11-15 14:19:51,4m - 50.370s,PASSED
,,,,,,,
Test Cases/TC001 - Customer Place Order for Contract (Customer),Chrome 107.0.0.0,Customer create order on Place Order page,,2022-11-15 14:15:01,2022-11-15 14:16:12,1m - 10.689s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:15:02,2022-11-15 14:15:31,29.007s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,"Login with user Luqman and VN-TTVN
",,2022-11-15 14:15:31,2022-11-15 14:15:36,4.449s,PASSED
"click(findTestObject(""TC001/p_Place Order""))",Chrome 107.0.0.0,,,2022-11-15 14:15:36,2022-11-15 14:15:37,1.481s,PASSED
"waitForElementVisible(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), 0)",Chrome 107.0.0.0,,,2022-11-15 14:15:37,2022-11-15 14:15:38,1.347s,PASSED
"setText(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), custContractNo)",Chrome 107.0.0.0,,,2022-11-15 14:15:38,2022-11-15 14:15:41,2.677s,PASSED
"verifyElementText(findTestObject(""TC001/verify_div_SGTTAP TO VNTTVN 1028002""), custContractNo, OPTIONAL)",Chrome 107.0.0.0,,,2022-11-15 14:15:41,2022-11-15 14:15:42,0.487s,PASSED
"y = getText(findTestObject(""TC003/div_CR-VN-TTVN-2210020""))",Chrome 107.0.0.0,,,2022-11-15 14:15:42,2022-11-15 14:15:42,0.517s,PASSED
"util.copyToExcel.exel(y, 1, 0)",Chrome 107.0.0.0,,,2022-11-15 14:15:42,2022-11-15 14:15:44,1.700s,PASSED
"click(findTestObject(""TC001/button_AND_lcbm-MuiButtonBase-root lcbm-MuiIconButton-root""))",Chrome 107.0.0.0,,,2022-11-15 14:15:44,2022-11-15 14:15:45,1.031s,PASSED
"click(findTestObject(""TC001/button_Input OrderFC QTY for each PN_lcbm-MuiButtonBase-root lcbm-MuiIconButton-root""))",Chrome 107.0.0.0,,,2022-11-15 14:15:45,2022-11-15 14:15:46,1.033s,PASSED
"doubleClick(findTestObject(""TC001/input number 1""))",Chrome 107.0.0.0,,,2022-11-15 14:15:46,2022-11-15 14:15:50,4.307s,PASSED
"sendKeys(findTestObject(""TC001/input number 1""), ""1000"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:15:50,2022-11-15 14:15:51,0.528s,PASSED
"doubleClick(findTestObject(""TC001/input number 2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:15:51,2022-11-15 14:15:53,1.919s,PASSED
