Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow,Chrome 107.0.0.0,,,2022-11-16 18:55:36,2022-11-16 19:07:19,11m - 43.712s,PASSED
,,,,,,,
Test Cases/TC001 - Customer Place Order for Contract (Customer),Chrome 107.0.0.0,Customer create order on Place Order page,,2022-11-16 18:55:36,2022-11-16 18:56:43,1m - 6.426s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:55:37,2022-11-16 18:56:04,26.855s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,"Login with user Luqman and VN-TTVN
",,2022-11-16 18:56:04,2022-11-16 18:56:05,1.086s,PASSED
"click(findTestObject(""TC001/p_Place Order""))",Chrome 107.0.0.0,,,2022-11-16 18:56:05,2022-11-16 18:56:09,4.076s,PASSED
"waitForElementVisible(findTestObject(""TC001/input_Spot Order""), 0)",Chrome 107.0.0.0,,,2022-11-16 18:56:09,2022-11-16 18:56:10,1.076s,PASSED
"setText(findTestObject(""TC001/input_Spot Order""), custContractNo)",Chrome 107.0.0.0,,,2022-11-16 18:56:10,2022-11-16 18:56:13,3.413s,PASSED
"verifyElementText(findTestObject(""TC001/verify_div_SGTTAP TO VNTTVN 1028002""), custContractNo, OPTIONAL)",Chrome 107.0.0.0,,,2022-11-16 18:56:13,2022-11-16 18:56:14,0.526s,PASSED
"y = getText(findTestObject(""TC003/div_CR-VN-TTVN-2210020""))",Chrome 107.0.0.0,,,2022-11-16 18:56:14,2022-11-16 18:56:14,0.477s,PASSED
"util.copyToExcel.exel(y, 1, 0)",Chrome 107.0.0.0,,,2022-11-16 18:56:14,2022-11-16 18:56:15,1.170s,PASSED
"click(findTestObject(""TC001/button_2""))",Chrome 107.0.0.0,,,2022-11-16 18:56:15,2022-11-16 18:56:16,0.979s,PASSED
"click(findTestObject(""TC001/button_4""))",Chrome 107.0.0.0,,,2022-11-16 18:56:16,2022-11-16 18:56:17,1.018s,PASSED
"doubleClick(findTestObject(""TC001/input number 1""))",Chrome 107.0.0.0,,,2022-11-16 18:56:17,2022-11-16 18:56:22,4.909s,PASSED
"sendKeys(findTestObject(""TC001/input number 1""), ""1000"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:22,2022-11-16 18:56:23,0.592s,PASSED
"doubleClick(findTestObject(""TC001/input number 2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:23,2022-11-16 18:56:24,1.435s,PASSED
"sendKeys(findTestObject(""TC001/input number 2""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 18:56:24,2022-11-16 18:56:25,0.440s,PASSED
"doubleClick(findTestObject(""TC001/input number 3""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:25,2022-11-16 18:56:26,0.671s,PASSED
"sendKeys(findTestObject(""TC001/input number 3""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 18:56:26,2022-11-16 18:56:26,0.550s,PASSED
"doubleClick(findTestObject(""TC001/input number 4""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:26,2022-11-16 18:56:27,0.668s,PASSED
"sendKeys(findTestObject(""TC001/input number 4""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 18:56:27,2022-11-16 18:56:27,0.558s,PASSED
"click(findTestObject(""TC001/button_5""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:27,2022-11-16 18:56:28,0.651s,PASSED
"click(findTestObject(""TC001/button_1""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:28,2022-11-16 18:56:29,0.565s,PASSED
"click(findTestObject(""TC001/input__inboundPlanDate""))",Chrome 107.0.0.0,,,2022-11-16 18:56:29,2022-11-16 18:56:29,0.654s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 18:56:29,2022-11-16 18:56:30,0.599s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 18:56:30,2022-11-16 18:56:31,1.117s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 18:56:31,2022-11-16 18:56:32,1.105s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 18:56:32,2022-11-16 18:56:33,1.074s,PASSED
"click(findTestObject(""TC001/button_17""))",Chrome 107.0.0.0,,,2022-11-16 18:56:33,2022-11-16 18:56:34,1.206s,PASSED
"click(findTestObject(""TC001/button_Confirm""))",Chrome 107.0.0.0,,,2022-11-16 18:56:34,2022-11-16 18:56:35,0.984s,PASSED
"click(findTestObject(""TC001/input number 5""))",Chrome 107.0.0.0,,,2022-11-16 18:56:35,2022-11-16 18:56:36,0.733s,PASSED
"sendKeys(findTestObject(""TC001/input number 5""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 18:56:36,2022-11-16 18:56:36,0.477s,PASSED
"click(findTestObject(""TC001/input number 6""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 18:56:36,2022-11-16 18:56:37,0.534s,PASSED
"sendKeys(findTestObject(""TC001/input number 6""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 18:56:37,2022-11-16 18:56:38,0.578s,PASSED
"click(findTestObject(""TC001/button_3""))",Chrome 107.0.0.0,,,2022-11-16 18:56:38,2022-11-16 18:56:38,0.516s,PASSED
currentTime = util.generateTime.dateTimeGenerator(),Chrome 107.0.0.0,,,2022-11-16 18:56:38,2022-11-16 18:56:38,0.076s,PASSED
"util.copyToExcel.exel(currentTime, 1, 1)",Chrome 107.0.0.0,,,2022-11-16 18:56:38,2022-11-16 18:56:38,0.132s,PASSED
"setText(findTestObject(""TC001/input_Basic info (order summary)_orderRefNo""), currentTime)",Chrome 107.0.0.0,,,2022-11-16 18:56:38,2022-11-16 18:56:40,1.488s,PASSED
"click(findTestObject(""TC001/button_issue""))",Chrome 107.0.0.0,,,2022-11-16 18:56:40,2022-11-16 18:56:40,0.508s,PASSED
"click(findTestObject(""TC001/button_CONFIRM (1)""))",Chrome 107.0.0.0,,,2022-11-16 18:56:40,2022-11-16 18:56:41,0.568s,PASSED
"verifyElementVisible(findTestObject(""TC001/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-16 18:56:41,2022-11-16 18:56:43,1.741s,PASSED
,,,,,,,
Test Cases/TC002 - Run Combine Order Batch (Admin),Chrome 107.0.0.0,,,2022-11-16 18:56:43,2022-11-16 18:57:15,32.181s,PASSED
