Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow,Chrome 107.0.0.0,,,2022-11-16 13:44:11,2022-11-16 13:57:57,13m - 46.398s,PASSED
,,,,,,,
Test Cases/TC001 - Customer Place Order for Contract (Customer),Chrome 107.0.0.0,Customer create order on Place Order page,,2022-11-16 13:44:12,2022-11-16 13:45:42,1m - 30.714s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:44:13,2022-11-16 13:44:48,34.957s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,"Login with user Luqman and VN-TTVN
",,2022-11-16 13:44:48,2022-11-16 13:44:52,4.460s,PASSED
"click(findTestObject(""TC001/p_Place Order""))",Chrome 107.0.0.0,,,2022-11-16 13:44:52,2022-11-16 13:44:53,1.368s,PASSED
"waitForElementVisible(findTestObject(""TC001/input_Spot Order""), 0)",Chrome 107.0.0.0,,,2022-11-16 13:44:53,2022-11-16 13:44:55,1.538s,PASSED
"setText(findTestObject(""TC001/input_Spot Order""), custContractNo)",Chrome 107.0.0.0,,,2022-11-16 13:44:55,2022-11-16 13:44:58,2.899s,PASSED
"verifyElementText(findTestObject(""TC001/verify_div_SGTTAP TO VNTTVN 1028002""), custContractNo, OPTIONAL)",Chrome 107.0.0.0,,,2022-11-16 13:44:58,2022-11-16 13:44:58,0.448s,PASSED
"y = getText(findTestObject(""TC003/div_CR-VN-TTVN-2210020""))",Chrome 107.0.0.0,,,2022-11-16 13:44:58,2022-11-16 13:44:59,0.422s,PASSED
"util.copyToExcel.exel(y, 1, 0)",Chrome 107.0.0.0,,,2022-11-16 13:44:59,2022-11-16 13:45:00,1.626s,PASSED
"click(findTestObject(""TC001/button_2""))",Chrome 107.0.0.0,,,2022-11-16 13:45:00,2022-11-16 13:45:02,1.290s,PASSED
"click(findTestObject(""TC001/button_4""))",Chrome 107.0.0.0,,,2022-11-16 13:45:02,2022-11-16 13:45:03,0.991s,PASSED
"doubleClick(findTestObject(""TC001/input number 1""))",Chrome 107.0.0.0,,,2022-11-16 13:45:03,2022-11-16 13:45:09,6.371s,PASSED
"sendKeys(findTestObject(""TC001/input number 1""), ""1000"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:09,2022-11-16 13:45:09,0.519s,PASSED
"doubleClick(findTestObject(""TC001/input number 2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:09,2022-11-16 13:45:10,0.761s,PASSED
"sendKeys(findTestObject(""TC001/input number 2""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 13:45:10,2022-11-16 13:45:11,0.466s,PASSED
"doubleClick(findTestObject(""TC001/input number 3""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:11,2022-11-16 13:45:12,0.819s,PASSED
"sendKeys(findTestObject(""TC001/input number 3""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 13:45:12,2022-11-16 13:45:12,0.594s,PASSED
"doubleClick(findTestObject(""TC001/input number 4""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:12,2022-11-16 13:45:13,0.693s,PASSED
"sendKeys(findTestObject(""TC001/input number 4""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 13:45:13,2022-11-16 13:45:13,0.538s,PASSED
"click(findTestObject(""TC001/button_5""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:13,2022-11-16 13:45:14,0.677s,PASSED
"click(findTestObject(""TC001/button_1""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:14,2022-11-16 13:45:15,1.128s,PASSED
"click(findTestObject(""TC001/input__inboundPlanDate""))",Chrome 107.0.0.0,,,2022-11-16 13:45:15,2022-11-16 13:45:16,0.712s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 13:45:16,2022-11-16 13:45:17,0.672s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 13:45:17,2022-11-16 13:45:18,1.071s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 13:45:18,2022-11-16 13:45:19,1.158s,PASSED
"click(findTestObject(""TC001/button date""))",Chrome 107.0.0.0,,,2022-11-16 13:45:19,2022-11-16 13:45:20,1.084s,PASSED
"click(findTestObject(""TC001/button_17""))",Chrome 107.0.0.0,,,2022-11-16 13:45:20,2022-11-16 13:45:21,1.202s,PASSED
"click(findTestObject(""TC001/button_Confirm""))",Chrome 107.0.0.0,,,2022-11-16 13:45:21,2022-11-16 13:45:22,1.082s,PASSED
"click(findTestObject(""TC001/input number 5""))",Chrome 107.0.0.0,,,2022-11-16 13:45:22,2022-11-16 13:45:23,0.806s,PASSED
"sendKeys(findTestObject(""TC001/input number 5""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 13:45:23,2022-11-16 13:45:23,0.530s,PASSED
"click(findTestObject(""TC001/input number 6""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:23,2022-11-16 13:45:24,0.662s,PASSED
"sendKeys(findTestObject(""TC001/input number 6""), ""1000"")",Chrome 107.0.0.0,,,2022-11-16 13:45:24,2022-11-16 13:45:25,0.619s,PASSED
"click(findTestObject(""TC001/button_3""))",Chrome 107.0.0.0,,,2022-11-16 13:45:25,2022-11-16 13:45:25,0.687s,PASSED
currentTime = util.generateTime.dateTimeGenerator(),Chrome 107.0.0.0,,,2022-11-16 13:45:25,2022-11-16 13:45:26,0.112s,PASSED
"util.copyToExcel.exel(currentTime, 1, 1)",Chrome 107.0.0.0,,,2022-11-16 13:45:26,2022-11-16 13:45:26,0.171s,PASSED
"setText(findTestObject(""TC001/input_Basic info (order summary)_orderRefNo""), currentTime)",Chrome 107.0.0.0,,,2022-11-16 13:45:26,2022-11-16 13:45:27,1.468s,PASSED
"click(findTestObject(""TC001/button_issue""))",Chrome 107.0.0.0,,,2022-11-16 13:45:27,2022-11-16 13:45:40,12.564s,PASSED
"click(findTestObject(""TC001/button_CONFIRM (1)""))",Chrome 107.0.0.0,,,2022-11-16 13:45:40,2022-11-16 13:45:40,0.562s,PASSED
"verifyElementVisible(findTestObject(""TC001/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-16 13:45:40,2022-11-16 13:45:42,1.938s,PASSED
,,,,,,,
Test Cases/TC002 - Run Combine Order Batch (Admin),Chrome 107.0.0.0,,,2022-11-16 13:45:42,2022-11-16 13:46:19,36.597s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":sgttap], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:45:43,2022-11-16 13:46:11,27.744s,PASSED
"navigateToUrl(""https://test.brivge.com/batch"")",Chrome 107.0.0.0,,,2022-11-16 13:46:11,2022-11-16 13:46:13,2.090s,PASSED
"click(findTestObject(""TC002/button_Combine Order""))",Chrome 107.0.0.0,,,2022-11-16 13:46:13,2022-11-16 13:46:18,4.801s,PASSED
"verifyElementVisible(findTestObject(""TC002/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-16 13:46:18,2022-11-16 13:46:19,1.296s,PASSED
,,,,,,,
Test Cases/TC003 - Confirm Supplier Order (Supplier),Chrome 107.0.0.0,,,2022-11-16 13:46:19,2022-11-16 13:47:02,43.379s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgbafco], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 13:46:20,2022-11-16 13:46:40,20.194s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,,,2022-11-16 13:46:40,2022-11-16 13:46:41,0.924s,PASSED
"click(findTestObject(""TC003/li_SO Monitoring List""))",Chrome 107.0.0.0,,,2022-11-16 13:46:41,2022-11-16 13:46:43,2.579s,PASSED
"verifyElementVisible(findTestObject(""TC003/div_what can you do in SO monitoring""), OPTIONAL)",Chrome 107.0.0.0,,,2022-11-16 13:46:43,2022-11-16 13:46:45,1.622s,PASSED
"if (verifyElementVisible(findTestObject(""TC003/div_what can you do in SO monitoring""), OPTIONAL) == true)",Chrome 107.0.0.0,,,2022-11-16 13:46:45,2022-11-16 13:46:48,2.526s,PASSED
"setText(findTestObject(""TC003/input_SO Monitoring List Search""), supplContractNo)",Chrome 107.0.0.0,,,2022-11-16 13:46:48,2022-11-16 13:46:50,1.999s,PASSED
"click(findTestObject(""TC003/filter button""))",Chrome 107.0.0.0,,,2022-11-16 13:46:50,2022-11-16 13:46:50,0.716s,PASSED
"click(findTestObject(""TC003/input__statusList""))",Chrome 107.0.0.0,,,2022-11-16 13:46:50,2022-11-16 13:46:51,1.030s,PASSED
"click(findTestObject(""TC003/li_Received""))",Chrome 107.0.0.0,,,2022-11-16 13:46:51,2022-11-16 13:46:52,0.645s,PASSED
"click(findTestObject(""TC003/button_Search""))",Chrome 107.0.0.0,,,2022-11-16 13:46:52,2022-11-16 13:46:52,0.562s,PASSED
"click(findTestObject(""TC003/button detail""))",Chrome 107.0.0.0,,,2022-11-16 13:46:52,2022-11-16 13:46:54,1.353s,PASSED
"salesOrderNo = getAttribute(findTestObject(""TC003/Page_Brivge/input_Please input related basic information_orderNo""), ""value"")",Chrome 107.0.0.0,,,2022-11-16 13:46:54,2022-11-16 13:46:55,1.386s,PASSED
"buyer = getAttribute(findTestObject(""TC003/Page_Brivge/input_Please input related basic information_buyer""), ""value"")",Chrome 107.0.0.0,,,2022-11-16 13:46:55,2022-11-16 13:46:58,2.625s,PASSED
