Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow,Chrome 107.0.0.0,,,2022-11-16 10:23:47,2022-11-16 10:37:02,13m - 15.436s,PASSED
,,,,,,,
Test Cases/TC001 - Customer Place Order for Contract (Customer),Chrome 107.0.0.0,Customer create order on Place Order page,,2022-11-16 10:23:47,2022-11-16 10:25:16,1m - 29.095s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 10:23:48,2022-11-16 10:24:15,27.424s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,"Login with user Luqman and VN-TTVN
",,2022-11-16 10:24:15,2022-11-16 10:24:19,4.075s,PASSED
"click(findTestObject(""TC001/p_Place Order""))",Chrome 107.0.0.0,,,2022-11-16 10:24:19,2022-11-16 10:24:20,0.999s,PASSED
"waitForElementVisible(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), 0)",Chrome 107.0.0.0,,,2022-11-16 10:24:20,2022-11-16 10:24:22,1.571s,PASSED
"setText(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), custContractNo)",Chrome 107.0.0.0,,,2022-11-16 10:24:22,2022-11-16 10:24:25,3.224s,PASSED
"verifyElementText(findTestObject(""TC001/verify_div_SGTTAP TO VNTTVN 1028002""), custContractNo, OPTIONAL)",Chrome 107.0.0.0,,,2022-11-16 10:24:25,2022-11-16 10:24:26,0.496s,PASSED
"y = getText(findTestObject(""TC003/div_CR-VN-TTVN-2210020""))",Chrome 107.0.0.0,,,2022-11-16 10:24:26,2022-11-16 10:24:26,0.439s,PASSED
"util.copyToExcel.exel(y, 1, 0)",Chrome 107.0.0.0,,,2022-11-16 10:24:26,2022-11-16 10:24:28,1.363s,PASSED
"click(findTestObject(""TC001/button_AND_lcbm-MuiButtonBase-root lcbm-MuiIconButton-root""))",Chrome 107.0.0.0,,,2022-11-16 10:24:28,2022-11-16 10:24:29,1.136s,PASSED
