Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""TC010/Page_Brivge/button confirm""))",Chrome 107.0.0.0,,,2022-11-15 14:25:10,2022-11-15 14:25:11,0.719s,PASSED
timestamp = util.generateTime.dateTimeGenerator(),Chrome 107.0.0.0,input inbound ref no,,2022-11-15 14:25:11,2022-11-15 14:25:11,0.002s,PASSED
"inboundRefNo = ""inbound"" + timestamp",Chrome 107.0.0.0,,,2022-11-15 14:25:11,2022-11-15 14:25:11,0.001s,PASSED
"util.copyToExcel.exel(inboundRefNo, 1, 8)",Chrome 107.0.0.0,,,2022-11-15 14:25:11,2022-11-15 14:25:11,0.569s,PASSED
"setText(findTestObject(""TC010/Page_Brivge/input__inboundRefNo""), inboundRefNo)",Chrome 107.0.0.0,,,2022-11-15 14:25:11,2022-11-15 14:25:12,1.195s,PASSED
"click(findTestObject(""TC010/Page_Brivge/input__inboundDate""))",Chrome 107.0.0.0,input inbound date,,2022-11-15 14:25:12,2022-11-15 14:25:13,0.576s,PASSED
"util.handlePicker.handleCalendar(findTestObject(""TC010/Page_Brivge/currentmonth""), findTestObject(""TC010/Page_Brivge/button next calendar""), 15, 11)",Chrome 107.0.0.0,,,2022-11-15 14:25:13,2022-11-15 14:25:14,1.268s,PASSED
"util.parseValue.parseAValueToWebObject(findTestObject(""TC010/Page_Brivge/input__inboundTime""), ""12:00:00"")",Chrome 107.0.0.0,Input time,,2022-11-15 14:25:14,2022-11-15 14:25:15,0.783s,PASSED
"click(findTestObject(""TC010/Page_Brivge/button_Confirm 2""))",Chrome 107.0.0.0,,,2022-11-15 14:25:15,2022-11-15 14:25:15,0.456s,PASSED
"click(findTestObject(""TC010/Page_Brivge/button_CONFIRM 3""))",Chrome 107.0.0.0,,,2022-11-15 14:25:15,2022-11-15 14:25:16,0.557s,PASSED
"verifyElementVisible(findTestObject(""TC010/Page_Brivge/p_The operation was successful""))",Chrome 107.0.0.0,,,2022-11-15 14:25:16,2022-11-15 14:25:18,1.539s,PASSED
,,,,,,,
Test Cases/TC011 - DC Outbound Details (DC),Chrome 107.0.0.0,,,2022-11-15 14:25:18,2022-11-15 14:27:12,1m - 54.882s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":sgttap], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:25:18,2022-11-15 14:25:51,32.629s,PASSED
"click(findTestObject(""TC011/Page_Brivge/button_Order""))",Chrome 107.0.0.0,,,2022-11-15 14:25:51,2022-11-15 14:25:52,0.750s,PASSED
"click(findTestObject(""TC011/Page_Brivge/li_SO Monitoring List""))",Chrome 107.0.0.0,,,2022-11-15 14:25:52,2022-11-15 14:25:53,1.519s,PASSED
"setText(findTestObject(""TC011/Page_Brivge/input_SO Monitoring List""), custContractNo)",Chrome 107.0.0.0,,,2022-11-15 14:25:53,2022-11-15 14:25:59,5.671s,PASSED
"y = getText(findTestObject(""TC011/Page_Brivge/div_orderNo""))",Chrome 107.0.0.0,,,2022-11-15 14:25:59,2022-11-15 14:25:59,0.549s,PASSED
"util.copyToExcel.exel(y, 1, 12)",Chrome 107.0.0.0,,,2022-11-15 14:25:59,2022-11-15 14:25:59,0.074s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgttapdc], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:25:59,2022-11-15 14:26:16,17.048s,PASSED
"click(findTestObject(""TC006/Page_Brivge/h6_Logistics""))",Chrome 107.0.0.0,,,2022-11-15 14:26:16,2022-11-15 14:26:17,0.688s,PASSED
"click(findTestObject(""TC006/Page_Brivge/li_Outbound Monitoring List""))",Chrome 107.0.0.0,,,2022-11-15 14:26:17,2022-11-15 14:26:18,1.276s,PASSED
"click(findTestObject(""TC006/Page_Brivge/button create""))",Chrome 107.0.0.0,,,2022-11-15 14:26:18,2022-11-15 14:26:21,2.310s,PASSED
"callTestCase(findTestCase(""common/Long Form/11_1 - input basic info""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:26:21,2022-11-15 14:26:43,22.814s,PASSED
"callTestCase(findTestCase(""common/Long Form/11_2 - input container info""), [:], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:26:43,2022-11-15 14:26:52,8.489s,PASSED
